0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,1
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,2
0,0,3
0,0,3
0,0,3
0,0,3
0,0,4
0,0,25
0,0,100
0,0,100
0,0,300
0,0,750
0,0,761
0,1,0
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,1
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
